:ID,primarySubstabce,name,:LABEL
7338,TOFACITINIB CITRATE,XELJANZ,Drug
7339,FLUTICASONE,FLUTICASONE,Drug
7340,CARVEDILOL,COREG,Drug
7341,FERROUS SULFATE,FERROUS SULFATE,Drug
7342,,ISOSORB,Drug
7343,SUCRALFATE,CARAFATE,Drug
7344,LEVOTHYROXINE,LEVOTHYROXINE,Drug
7345,AMIODARONE,AMIODARONE,Drug
7346,INSULIN HUMAN,NOVOLIN NOS,Drug
7347,LEVOFLOXACIN,LEVAQUIN,Drug
7348,TRAMADOL,TRAMADOL,Drug
7349,MELOXICAM,MELOXICAM,Drug
7350,TIZANIDINE,TIZANIDINE,Drug
7351,INTERFERON BETA-1B,EXTAVIA,Drug
7352,VINCRISTINE SULFATE,VINCRISTINE SULFATE,Drug
7353,RUXOLITINIB,INCB018424,Drug
7354,MERCAPTOPURINE,MERCAPTOPURINE,Drug
7355,PEGASPARGASE,PEGASPARGASE,Drug
7356,FESOTERODINE FUMARATE,TOVIAZ,Drug
7357,ELETRIPTAN HYDROBROMIDE,RELPAX,Drug
7358,ONDANSETRON,Ondansetron,Drug
7359,BOSUTINIB MONOHYDRATE,BOSULIF,Drug
7360,IXAZOMIB,Ixazomib,Drug
7361,TOFACITINIB CITRATE,XELJANZ XR,Drug
7362,LEFLUNOMIDE,ARAVA,Drug
7363,ESTRADIOL,ESTRADIOL,Drug
7364,SPIRONOLACTONE,SPIRONOLACTONE,Drug
7365,APIXABAN,APIXABAN,Drug
7366,ESOMEPRAZOLE MAGNESIUM,ESOMEPRAZOLE,Drug
7367,HEPARIN SODIUM,HEPARIN LOCK FLUSH,Drug
7368,CALCIUM CHLORIDE\POTASSIUM CHLORIDE\SODIUM CHLORIDE\SODIUM LACTATE,LACTATED RINGERS SOLUTION,Drug
7369,METHOTREXATE SODIUM,METHOTREXATE [METHOTREXATE SODIUM],Drug
7370,MIDAZOLAM,MIDAZOLAM,Drug
7371,PANTOPRAZOLE,PANTOPRAZOLE,Drug
7372,PROPOFOL,PROPOFOL,Drug
7373,POLYETHYLENE GLYCOLS,POLYETHYLENE GLYCOL [MACROGOL],Drug
7374,SULFAMETHOXAZOLE\TRIMETHOPRIM,COTRIMOXAZOLE,Drug
7375,AMIKACIN,AMIKACIN,Drug
7376,CILASTATIN SODIUM\IMIPENEM,IMIPENEM / CILASTATINA,Drug
7377,EPINEPHRINE,EPINEPHRINE,Drug
7378,HYDROCORTISONE,HYDROCORTISONE,Drug
7379,VECURONIUM BROMIDE,VECURONIUM,Drug
7380,ELOTUZUMAB,EMPLICITI,Drug
7381,MELATONIN,Melatonin,Drug
7382,SERTRALINE HYDROCHLORIDE,ZOLOFT,Drug
7383,DABRAFENIB,DABRAFENIB,Drug
7384,TRAMETINIB,GSK1120212,Drug
7385,AMITRIPTYLINE,AMITRIPTYLINE HCL,Drug
7386,MELOXICAM,MOBIC,Drug
7387,TIZANIDINE HYDROCHLORIDE,TIZANIDINE HYDROCHLORIDE,Drug
7388,HYDROMORPHONE,HYDROMORPHONE,Drug
7389,CASANTHRANOL\DOCUSATE SODIUM,PERICOLACE,Drug
7390,HYDROXYZINE HYDROCHLORIDE,ATARAX,Drug
7391,ISOSORBIDE DINITRATE,ISOSORBIDE DINITRATE,Drug
7392,METHYLPREDNISOLONE,MEDROL,Drug
7393,POLYETHYLENE GLYCOL 3350,POLYETHYLENE GLYCOL 3350,Drug
7394,PIMAVANSERIN TARTRATE,NUPLAZID,Drug
7395,CARBIDOPA,CARBIDOPA,Drug
7396,IRON,Iron,Drug
7397,BISACODYL OR DOCUSATE SODIUM,DULCOLAX NOS,Drug
7398,PRAVASTATIN,PRAVASTATIN,Drug
7399,SERTRALINE HYDROCHLORIDE,Sertraline hcl,Drug
7400,ROTIGOTINE,NEUPRO,Drug
7401,CARFILZOMIB,carfilzomib,Drug
7402,BENDAMUSTINE,bendamustine,Drug
7403,VALACYCLOVIR HYDROCHLORIDE,VALTREX,Drug
7404,FAMOTIDINE,FAMOTIDINE,Drug
7405,SENNA LEAF\SENNOSIDES\SENNOSIDES A AND B,SENNA,Drug
7406,ACETAMINOPHEN,ACETAMINOPHEN,Drug
7407,BISACODYL,BISACODYL,Drug
7408,ALUMINUM HYDROXIDE\DIMETHICONE\MAGNESIUM HYDROXIDE,MAALOX ANTACID,Drug
7409,METOPROLOL TARTRATE,METOPROLOL TARTRATE,Drug
7410,ACETAMINOPHEN\OXYCODONE HYDROCHLORIDE,PERCOCET,Drug
7411,APREMILAST,OTEZLA,Drug
7412,NABUMETONE,RELAFEN,Drug
7413,FOLIC ACID,FOLIC ACID,Drug
7414,ATORVASTATIN,ATORVASTATIN,Drug
7415,VENLAFAXINE HYDROCHLORIDE,EFFEXOR,Drug
7416,NIRAPARIB,Niraparib,Drug
7417,ALENDRONATE SODIUM,ALENDRONATE SODIUM,Drug
7418,CALCIUM,CALCIUM,Drug
7419,CALCIUM\VITAMIN D,CALCIUM + VIT D,Drug
7420,CETIRIZINE HYDROCHLORIDE,CETIRIZINE HYDROCHLORIDE,Drug
7421,FLUNISOLIDE,FLUNISOLIDE,Drug
7422,ALBUTEROL SULFATE,PROAIR HFA,Drug
7423,DOCUSATE,DOCUSATE,Drug
7424,MAGNESIUM HYDROXIDE,MILK OF MAGNESIA,Drug
7425,TBO-FILGRASTIM,GRANIX,Drug
7426,CHOLECALCIFEROL,COLECALCIFEROL,Drug
7427,CLOPIDOGREL BISULFATE,CLOPIDOGREL BISULFATE,Drug
7428,ALBUTEROL SULFATE,SALBUTAMOL SULFATE,Drug
7429,POLYETHYLENE GLYCOLS,MACROGOL,Drug
7430,FILGRASTIM,FILGRASTIM,Drug
7431,MAGNESIUM CITRATE,MAGNESIUM CITRATE,Drug
7432,MYCOPHENOLATE MOFETIL\MYCOPHENOLATE MOFETIL HYDROCHLORIDE,CELLCEPT,Drug
7433,TACROLIMUS,PROGRAF,Drug
7434,TAMOXIFEN,TAMOXIFEN,Drug
7435,NIVOLUMAB,Nivolumab,Drug
7436,TROSPIUM,TROSPIUM,Drug
7437,PONATINIB,Ponatinib,Drug
7438,TREPROSTINIL,REMODULIN,Drug
7439,AMBRISENTAN,LETAIRIS,Drug
7440,TADALAFIL,ADCIRCA,Drug
7441,QUETIAPINE FUMARATE,QUETIAPINE FUMARATE,Drug
7442,AVELUMAB,AVELUMAB,Drug
7443,CISPLATIN,CISPLATIN,Drug
7444,FENTANYL CITRATE,FENTANYL CITRATE,Drug
7445,MIDAZOLAM HYDROCHLORIDE,VERSED,Drug
7446,AGALSIDASE BETA,AGALSIDASE BETA,Drug
7447,ASPIRIN,ASA,Drug
7448,METHYLPREDNISOLONE,METHYLPREDNISOLONE,Drug
7449,ASPIRIN,ASPIRIN (EC),Drug
7450,TAMSULOSIN,TAMSULOSIN,Drug
7451,DEXAMETHASONE,DEXAMETHASONE IV,Drug
7452,PATIROMER,VELTASSA,Drug
7453,CALCIUM\VITAMIN D,CALCIUM + D,Drug
7454,OMEGA-3 FATTY ACIDS,OMEGA 3 FATTY ACID,Drug
7455,UNSPECIFIED INGREDIENT,DIGESTIVE ENZYMES,Drug
7456,TOPIRAMATE,TOPAMAX,Drug
7457,LEVOCETIRIZINE DIHYDROCHLORIDE,XYZAL,Drug
7458,ACETAMINOPHEN\OXYCODONE HYDROCHLORIDE,OXYCODONE AND ACETAMINOPHEN,Drug
7459,DIPHENHYDRAMINE,DIPHENHYDRAMINE,Drug
7460,GALSULFASE,NAGLAZYME,Drug
7461,SODIUM BICARBONATE,SODIUM BICARBONATE,Drug
7462,BUPROPION,BUPROPION XL,Drug
7463,ASPIRIN,ASPIRIN                            /00002701/,Drug
7464,CHLORTHALIDONE,CHLORTHALIDONE,Drug
7465,EZETIMIBE,EZETIMIBE,Drug
7466,LINAGLIPTIN,LINAGLIPTIN,Drug
7467,LOSARTAN,LOSARTAN,Drug
7468,CYCLOPHOSPHAMIDE,CYTOXAN,Drug
7469,TOCILIZUMAB,TOCILIZUMAB,Drug
7470,NIFEDIPINE,ADALAT,Drug
7471,PROGESTERONE,PROMETRIUM,Drug
7472,CERITINIB,ZYKADIA,Drug
7473,GEMCITABINE,GEMCITABINE,Drug
7474,CIPROFLOXACIN,CIPROFLOXACIN,Drug
7475,MORPHINE,MORPHINE,Drug
7476,TISAGENLECLEUCEL,KYMRIAH,Drug
7477,IXAZOMIB CITRATE,NINLARO,Drug
7478,SUNITINIB MALATE,SUTENT,Drug
7479,ATENOLOL,TENORMIN,Drug
7480,POTASSIUM CHLORIDE,KLOR CON M10,Drug
7481,MINERALS\VITAMINS,CENTRUM SILVER,Drug
7482,ALBUTEROL SULFATE,PROAIR RESPICLICK,Drug
7483,MINERALS\VITAMINS,CENTRUM SILVER WOMEN 50+,Drug
7484,BUDESONIDE\FORMOTEROL FUMARATE DIHYDRATE,SYMBICORT,Drug
7485,FUROSEMIDE,FUROSEMIDE,Drug
7486,LETROZOLE,LETROZOLE,Drug
7487,METHADONE HYDROCHLORIDE,METHADONE,Drug
7488,PYRIDOXINE HYDROCHLORIDE,VITAMIN B6,Drug
7489,GLIMEPIRIDE,GLIMEPIRIDE,Drug
7490,"ESTROGENS, CONJUGATED\MEDROXYPROGESTERONE ACETATE",PREMPRO,Drug
7491,LAMOTRIGINE,LAMICTAL,Drug
7492,BUSPIRONE HYDROCHLORIDE,BUSPAR,Drug
7493,ALPRAZOLAM,XANAX,Drug
7494,ACYCLOVIR,ACYCLOVIR                          /00587301/,Drug
7495,LANSOPRAZOLE,PREVACID,Drug
7496,OCRELIZUMAB,OCREVUS,Drug
7497,AMPHETAMINE ASPARTATE\AMPHETAMINE SULFATE\DEXTROAMPHETAMINE SACCHARATE\DEXTROAMPHETAMINE SULFATE,ADDERALL,Drug
7498,BUPRENORPHINE,BUPRENORPHINE,Drug
7499,METHYLPREDNISOLONE SODIUM SUCCINATE,SOLU MEDROL,Drug
7500,ALENDRONATE SODIUM,ALENDRONATE,Drug
7501,LATANOPROST,LATANOPROST,Drug
7502,COBIMETINIB,COBIMETINIB,Drug
7503,ENOXAPARIN SODIUM,ENOXAPARIN SODIUM,Drug
7504,OXYCODONE HYDROCHLORIDE,OXYCONTIN,Drug
7505,PREGABALIN,PREGABALIN,Drug
7506,RANITIDINE HYDROCHLORIDE,RANITIDINE HYDROCHLORIDE,Drug
7507,OXYBUTYNIN CHLORIDE,OXYBUTYNIN,Drug
7508,NALOXEGOL,NALOXEGOL,Drug
7509,,METOPROLOLTARTRAT,Drug
7510,DIPHENHYDRAMINE,DIPHENHYDRAMIN,Drug
7511,ALCLOMETASONE DIPROPIONATE,ACLOVATE,Drug
7512,ALFUZOSIN,ALFUZOSIN,Drug
7513,LIDOCAINE,LIDOCAINE,Drug
7514,MEROPENEM,MEROPENEM,Drug
7515,MIDODRINE,MIDODRINE,Drug
7516,OXYCODONE,OXYCODONE,Drug
7517,DIMETHICONE,SIMETHICONE (DIMETHICONE),Drug
7518,CELECOXIB,CELECOXIB,Drug
7519,AZACITIDINE,VIDAZA,Drug
7520,DOCETAXEL,TAXOTERE,Drug
7521,WARFARIN SODIUM,COUMADIN,Drug
7522,ATENOLOL,ATENOLOL,Drug
7523,OFLOXACIN,OCUFLOX,Drug
7524,ALEMTUZUMAB,LEMTRADA,Drug
7525,ALEMTUZUMAB,ALEMTUZUMAB,Drug
7526,DOFETILIDE,TIKOSYN,Drug
7527,DILTIAZEM,DILTIAZEM,Drug
7528,LEVOTHYROXINE SODIUM,LEVOXYL,Drug
7529,DABIGATRAN ETEXILATE MESYLATE,PRADAXA,Drug
7530,SOMATROPIN,Genotropin MQ,Drug
7531,LEVOTHYROXINE SODIUM,SYNTHROID,Drug
7532,PHENYTOIN SODIUM,PHENYTEK,Drug
7533,ROSUVASTATIN CALCIUM,CRESTOR,Drug
7534,MORPHINE SULFATE,MORPHINE SULPHATE,Drug
7535,MORPHINE SULFATE,MS CONTIN,Drug
7536,ATEZOLIZUMAB,ATEZOLIZUMAB,Drug
7537,BEVACIZUMAB,BEVACIZUMAB,Drug
7538,PACLITAXEL,PACLITAXEL,Drug
7539,CARBOPLATIN,CARBOPLATIN,Drug
7540,BIOTIN,BIOTIN,Drug
7541,BUPRENORPHINE,BUPRENORPHINE ACTAVIS,Drug
7542,BUPRENORPHINE HYDROCHLORIDE,BUPRENORPHINE HCL HIKMA,Drug
7543,BUPRENORPHINE HYDROCHLORIDE,SUBUTEX,Drug
7544,BUPRENORPHINE HYDROCHLORIDE\NALOXONE HYDROCHLORIDE,SUBOXONE,Drug
7545,RANITIDINE HYDROCHLORIDE,ZANTAC,Drug
7546,ESOMEPRAZOLE MAGNESIUM,NEXIUM 24HR,Drug
7547,CHOLECALCIFEROL,VITAMIN D3,Drug
7548,OMEGA-3 FATTY ACIDS,OMEGA 3,Drug
7549,PRAVASTATIN SODIUM,PRAVASTINE,Drug
7550,ARIPIPRAZOLE,ARIPIPRAZOLE,Drug
7551,ALPRAZOLAM,ALPRAZOLAM,Drug
7552,OMEPRAZOLE MAGNESIUM,PRILOSEC OTC,Drug
7553,DEXLANSOPRAZOLE,DEXILANT,Drug
7554,LOSARTAN POTASSIUM,COZAAR,Drug
7555,HYDRALAZINE HYDROCHLORIDE,HYDRALAZINE,Drug
7556,CEFTRIAXONE,CEFTRIAXONE,Drug
7557,ISOSORBIDE,ISOSORBIDE,Drug
7558,CARVEDILOL,CARVEDIOL,Drug
7559,BUDESONIDE,BUDESONIDE,Drug
7560,GLUCAGON,GLUCAGON,Drug
7561,LANSOPRAZOLE,LANSOPRAZOLE,Drug
7562,PANTOPRAZOLE SODIUM,PANTOPRAZOLE SODIUM,Drug
7563,DEXLANSOPRAZOLE,KAPIDEX,Drug
7564,TRAMADOL HYDROCHLORIDE,TRAMADOL HYDROCHLORIDE,Drug
7565,POTASSIUM CHLORIDE,KLOR CON,Drug
7566,SERTRALINE HYDROCHLORIDE,SERTRALINE,Drug
7567,DIGOXIN,DIGOXIN,Drug
7568,MYCOPHENOLATE SODIUM,MYFORTIC,Drug
7569,NYSTATIN,MYCOSTATIN,Drug
7570,FOLIC ACID,FOLVITE,Drug
7571,LANSOPRAZOLE,PREVACID 24 HR,Drug
7572,GLIPIZIDE,GLIPIZIDE,Drug
7573,PRAZOSIN,PRAZOSIN,Drug
7574,COLCHICINE,COLCHICINE,Drug
7575,DOXYCYCLINE,DOXYCYCLINE,Drug
7576,AMLODIPINE BESYLATE,NORVASC,Drug
7577,GLIMEPIRIDE,AMARYL,Drug
7578,CALCIUM CARBONATE,CALCIUM CARBONATE,Drug
7579,CALCIUM ACETATE,CALCIUM ACETATE,Drug
7580,METOCLOPRAMIDE HYDROCHLORIDE,REGLAN,Drug
7581,FISH OIL,FISH OIL,Drug
7582,ERYTHROPOIETIN,PROCRIT,Drug
7583,SEVELAMER,SEVELAMER,Drug
7584,FOSINOPRIL,FOSINOPRIL,Drug
7585,AMLODIPINE BESYLATE,AMLODIPINE BESILATE,Drug
7586,DOFETILIDE,DOFETILIDE,Drug
7587,NAPROXEN,NAPROXEN,Drug
7588,ASPIRIN,BAYER ASPIRIN,Drug
7589,ROSUVASTATIN CALCIUM,ROSUVASTATIN CALCIUM,Drug
7590,BUPROPION HYDROCHLORIDE,BUPROPION HYDROCHLORIDE XL,Drug
7591,SEVELAMER CARBONATE,RENVELA,Drug
7592,CINACALCET HYDROCHLORIDE,SENSIPAR,Drug
7593,LABETALOL HYDROCHLORIDE,LABETALOL HCL,Drug
7594,VALSARTAN,DIOVAN,Drug
7595,ENALAPRIL MALEATE,ENALAPRIL MALEATE,Drug
7596,DOXAZOSIN MESYLATE,DOXAZOSIN,Drug
7597,DILTIAZEM HYDROCHLORIDE,TAZTIA XT,Drug
7598,CODEINE,CODEINE,Drug
7599,ASPIRIN\BUTALBITAL\CAFFEINE,FIORINAL,Drug
7600,WARFARIN,WARFARIN,Drug
7601,ACETAMINOPHEN\CODEINE PHOSPHATE,ACETAMINOPHEN CODEINE,Drug
7602,,AMBROXOL/CLAVULANIC ACID/AMOXICILLIN,Drug
7603,ECONAZOLE NITRATE,ECONAZOLE,Drug
7604,DOXAZOSIN MESYLATE,DOXAZOSIN MESYLATE,Drug
7605,NIACIN,NIASPAN,Drug
7606,PENTOXIFYLLINE,PENTOXIFYLLINE,Drug
7607,RANOLAZINE,RANEXA,Drug
7608,ISOSORBIDE MONONITRATE,ISOSORBIDE MONONITRATE,Drug
7609,TIOTROPIUM BROMIDE MONOHYDRATE,SPIRIVA,Drug
7610,COLCHICINE,COLCRYS,Drug
7611,ELOSULFASE ALFA,VIMIZIM,Drug
7612,LORAZEPAM,ATIVAN,Drug
7613,NIVOLUMAB,NIVOLUMAB,Drug
7614,ETHINYL ESTRADIOL\NORETHINDRONE ACETATE,BLISOVI FE 1/20,Drug
7615,IBUPROFEN\PSEUDOEPHEDRINE HYDROCHLORIDE,ADVIL COLD AND SINUS,Drug
7616,LORATADINE,CLARITIN,Drug
7617,PHENOL,CHLORASEPTIC SORE THROAT,Drug
7618,IBUPROFEN,IBUPROFEN,Drug
7619,ALBUTEROL,ALBUTEROL [SALBUTAMOL],Drug
7620,LOPERAMIDE HYDROCHLORIDE,IMODIUM,Drug
7621,PSYLLIUM HUSK,METAMUCIL THERAPY FOR REGULARITY,Drug
7622,TRIAMCINOLONE ACETONIDE,TRIAMCINOLONE ACETONIDE,Drug
7623,GUAIFENESIN,MUCINEX,Drug
7624,AMPICILLIN,AMPICILLIN,Drug
